taxon_order,category,species_code,primary_com_name,sci_name
11750,issf,lotpar4,Long-tailed Parakeet (Enggano),Psittacula longicauda modesta
11751,spuh,psitta1,Psittacula sp.,Psittacula sp.
11752,species,magpar1,Mauritius Gray Parrot,Lophopsittacus bensoni
11753,species,brbpar3,Broad-billed Parrot,Lophopsittacus mauritianus
11754,species,rodpar1,Rodrigues Parrot,Necopsittacus rodricanus
11755,species,patpar1,Painted Tiger-Parrot,Psittacella picta
11756,issf,paitip1,Painted Tiger-Parrot (Snow Mountains),Psittacella picta lorentzi
11757,issf,paitip2,Painted Tiger-Parrot (Eastern),Psittacella picta picta/excelsa
11760,species,brtpar2,Brehm's Tiger-Parrot,Psittacella brehmii
11765,species,motpar1,Modest Tiger-Parrot,Psittacella modesta
11769,species,matpar1,Madarasz's Tiger-Parrot,Psittacella madaraszi
11774,spuh,tiger-2,tiger-parrot sp.,Psittacella sp.
11775,species,bllpar1,Black-lored Parrot,Tanygnathus gramineus
11776,species,grbpar1,Great-billed Parrot,Tanygnathus megalorynchos
11782,species,blnpar1,Blue-naped Parrot,Tanygnathus lucionensis
11787,species,azrpar1,Azure-rumped Parrot,Tanygnathus sumatranus
11794,species,gropar1,Ground Parrot,Pezoporus wallicus
11795,issf,gropar2,Ground Parrot (Western),Pezoporus wallicus flaviventris
11796,issf,gropar3,Ground Parrot (Eastern),Pezoporus wallicus wallicus
11797,species,nigpar2,Night Parrot,Pezoporus occidentalis
11798,species,yeblor2,Yellow-billed Lorikeet,Neopsittacus musschenbroekii
11801,species,orblor1,Orange-billed Lorikeet,Neopsittacus pullicauda
11805,slash,y00874,Yellow-billed/Orange-billed Lorikeet,Neopsittacus musschenbroekii/pullicauda
11806,species,boupar2,Bourke's Parrot,Neophema bourkii
11807,species,blwpar3,Blue-winged Parrot,Neophema chrysostoma
11808,species,elepar1,Elegant Parrot,Neophema elegans
11809,species,rocpar1,Rock Parrot,Neophema petrophila
11810,species,orbpar1,Orange-bellied Parrot,Neophema chrysogaster
11811,species,turpar1,Turquoise Parrot,Neophema pulchella
11812,species,sccpar1,Scarlet-chested Parrot,Neophema splendida
11813,spuh,neophe1,Neophema sp.,Neophema sp.
11814,species,swipar1,Swift Parrot,Lathamus discolor
11815,species,crspar1,Crimson Shining-Parrot,Prosopeia splendens
11816,species,respar1,Red Shining-Parrot,Prosopeia tabuensis
11819,species,maspar2,Masked Shining-Parrot,Prosopeia personata
11820,species,horpar2,Horned Parakeet,Eunymphicus cornutus
11821,species,horpar3,Ouvea Parakeet,Eunymphicus uvaeensis
11822,species,raipar1,Raiatea Parakeet,Cyanoramphus ulietanus
11823,species,blfpar2,Black-fronted Parakeet,Cyanoramphus zealandicus
11824,species,antpar1,Antipodes Parakeet,Cyanoramphus unicolor
11825,species,refpar4,Red-crowned Parakeet,Cyanoramphus novaezelandiae
11830,species,reipar1,Reischek's Parakeet,Cyanoramphus hochstetteri
11831,species,necpar1,New Caledonian Parakeet,Cyanoramphus saisseti
11832,species,noipar1,Norfolk Island Parakeet,Cyanoramphus cookii
11833,species,yefpar3,Yellow-crowned Parakeet,Cyanoramphus auriceps
11834,species,chipar1,Chatham Islands Parakeet,Cyanoramphus forbesi
11835,species,malpar2,Malherbe's Parakeet,Cyanoramphus malherbi
11836,spuh,cyanor1,Cyanoramphus sp.,Cyanoramphus sp.
11837,species,polpar1,Australian Ringneck,Barnardius zonarius
11838,issf,polpar3,Australian Ringneck (Twenty-eight),Barnardius zonarius semitorquatus
11839,issf,polpar2,Australian Ringneck (Port Lincoln),Barnardius zonarius zonarius
11840,issf,malrin2,Australian Ringneck (Mallee),Barnardius zonarius barnardi
11841,issf,malrin3,Australian Ringneck (Cloncurry),Barnardius zonarius macgillivrayi
11842,species,greros2,Green Rosella,Platycercus caledonicus
11843,species,criros2,Crimson Rosella,Platycercus elegans
11844,issf,criros1,Crimson Rosella (Crimson),Platycercus elegans [elegans Group]
11848,issf,yelros1,Crimson Rosella (Yellow),Platycercus elegans flaveolus
11849,intergrade,criros3,Crimson Rosella (Crimson x Yellow),Platycercus elegans [elegans Group] x flaveolus
11850,issf,aderos1,Crimson Rosella (Adelaide),Platycercus elegans adelaidae/subadelaidae
11853,species,norros1,Northern Rosella,Platycercus venustus
11854,species,easros1,Eastern Rosella,Platycercus eximius
11858,hybrid,x00807,Green x Eastern Rosella (hybrid),Platycercus caledonicus x eximius
11859,hybrid,x00808,Crimson x Eastern Rosella (hybrid),Platycercus elegans x eximius
11860,species,pahros1,Pale-headed Rosella,Platycercus adscitus
11863,hybrid,x00707,Eastern x Pale-headed Rosella (hybrid),Platycercus eximius x adscitus
11864,hybrid,x00956,Crimson x Pale-headed Rosella (hybrid),Platycercus elegans x adscitus
11865,species,wesros1,Western Rosella,Platycercus icterotis
11868,species,bluebo1,Greater Bluebonnet,Northiella haematogaster
11869,issf,bluebo2,Greater Bluebonnet (Yellow-vented),Northiella haematogaster haematogaster/pallescens
11872,issf,bluebo3,Greater Bluebonnet (Red-vented),Northiella haematogaster haematorrhoa
11873,species,bluebo4,Naretha Bluebonnet,Northiella narethae
11874,species,rerpar1,Red-rumped Parrot,Psephotus haematonotus
11877,species,mulpar1,Mulga Parrot,Psephotus varius
11878,species,hoopar1,Hooded Parrot,Psephotus dissimilis
11879,species,gospar1,Golden-shouldered Parrot,Psephotus chrysopterygius
11880,species,parpar2,Paradise Parrot,Psephotus pulcherrimus
11881,species,recpar1,Red-capped Parrot,Purpureicephalus spurius
11882,species,obfpar1,Orange-breasted Fig-Parrot,Cyclopsitta gulielmitertii
11883,issf,orbfip1,Orange-breasted Fig-Parrot (Dusky-cheeked),Cyclopsitta gulielmitertii [melanogenia Group]
11887,issf,orbfip2,Orange-breasted Fig-Parrot (Blue-fronted),Cyclopsitta gulielmitertii gulielmitertii
11888,issf,orbfip3,Orange-breasted Fig-Parrot (Black-fronted),Cyclopsitta gulielmitertii nigrifrons
11889,issf,orbfip4,Orange-breasted Fig-Parrot (Creamy-breasted),Cyclopsitta gulielmitertii amabilis/ramuensis
11892,species,defpar1,Double-eyed Fig-Parrot,Cyclopsitta diophthalma
11893,issf,doefip1,Double-eyed Fig-Parrot (Double-eyed),Cyclopsitta diophthalma [diophthalma Group]
11901,issf,doefip2,Double-eyed Fig-Parrot (Coxen's),Cyclopsitta diophthalma coxeni
11902,species,lafpar1,Large Fig-Parrot,Psittaculirostris desmarestii
11903,issf,larfip1,Large Fig-Parrot (Large),Psittaculirostris desmarestii [desmarestii Group]
11908,issf,larfip2,Large Fig-Parrot (Yellow-naped),Psittaculirostris desmarestii godmani
11909,issf,larfip3,Large Fig-Parrot (Red-faced),Psittaculirostris desmarestii cervicalis
11910,species,edfpar1,Edwards's Fig-Parrot,Psittaculirostris edwardsii
11911,species,safpar1,Salvadori's Fig-Parrot,Psittaculirostris salvadorii
11912,species,guaiab1,Guaiabero,Bolbopsittacus lunulatus
11917,species,budger,Budgerigar,Melopsittacus undulatus
11918,domestic,budger1,Budgerigar (Domestic type),Melopsittacus undulatus (Domestic type)
11919,species,plflor1,Plum-faced Lorikeet,Oreopsittacus arfaki
11923,species,pallor1,Palm Lorikeet,Charmosyna palmarum
11924,species,reclor1,Red-chinned Lorikeet,Charmosyna rubrigularis
11925,species,meelor1,Meek's Lorikeet,Charmosyna meeki
11926,species,blflor1,Blue-fronted Lorikeet,Charmosyna toxopei
11927,species,strlor1,Striated Lorikeet,Charmosyna multistriata
11928,species,pyglor1,Pygmy Lorikeet,Charmosyna wilhelminae
11929,species,reflor2,Red-fronted Lorikeet,Charmosyna rubronotata
11932,species,reflor1,Red-flanked Lorikeet,Charmosyna placentis
11938,species,neclor1,New Caledonian Lorikeet,Charmosyna diadema
11939,species,retlor1,Red-throated Lorikeet,Charmosyna amabilis
11940,species,duclor1,Duchess Lorikeet,Charmosyna margarethae
11941,species,failor1,Fairy Lorikeet,Charmosyna pulchella
11944,species,joslor1,Josephine's Lorikeet,Charmosyna josefinae
11948,species,paplor1,Papuan Lorikeet,Charmosyna papou
11949,issf,paplor2,Papuan Lorikeet (Vogelkop),Charmosyna papou papou
11950,issf,paplor3,Papuan Lorikeet (Stella's),Charmosyna papou [stellae Group]
11954,spuh,charmo1,Charmosyna sp.,Charmosyna sp.
11955,species,collor1,Collared Lory,Phigys solitarius
11956,species,blclor2,Blue-crowned Lorikeet,Vini australis
11957,species,kuhlor1,Kuhl's Lorikeet,Vini kuhlii
11958,species,stelor1,Stephen's Lorikeet,Vini stepheni
11959,species,blulor1,Blue Lorikeet,Vini peruviana
11960,species,ultlor1,Ultramarine Lorikeet,Vini ultramarina
11961,species,blalor1,Black Lory,Chalcopsitta atra
11965,species,brolor1,Brown Lory,Chalcopsitta duivenbodei
11968,species,yeslor1,Yellow-streaked Lory,Chalcopsitta scintillata
11972,species,carlor1,Cardinal Lory,Chalcopsitta cardinalis
11973,species,chalor1,Chattering Lory,Lorius garrulus
11977,species,publor1,Purple-bellied Lory,Lorius hypoinochrous
11981,species,punlor1,Purple-naped Lory,Lorius domicella
11982,species,blclor1,Black-capped Lory,Lorius lory
11990,species,whnlor2,White-naped Lory,Lorius albidinucha
11991,species,yeblor1,Yellow-bibbed Lory,Lorius chlorocercus
11992,species,muslor1,Musk Lorikeet,Glossopsitta concinna
11993,species,litlor1,Little Lorikeet,Glossopsitta pusilla
11994,species,puclor1,Purple-crowned Lorikeet,Glossopsitta porphyrocephala
11995,species,varlor1,Varied Lorikeet,Psitteuteles versicolor
11996,species,irilor1,Iris Lorikeet,Psitteuteles iris
12000,species,gollor1,Goldie's Lorikeet,Psitteuteles goldiei
12001,species,rablor1,Red-and-blue Lory,Eos histrio
12005,species,vinlor1,Violet-necked Lory,Eos squamata
12009,species,redlor1,Red Lory,Eos bornea
12012,species,blslor1,Blue-streaked Lory,Eos reticulata
12013,species,blwlor1,Black-winged Lory,Eos cyanogenia
12014,species,blelor1,Blue-eared Lory,Eos semilarvata
12015,species,duslor1,Dusky Lory,Pseudeos fuscata
12016,species,ornlor1,Ornate Lorikeet,Trichoglossus ornatus
12017,species,railor3,Sunset Lorikeet,Trichoglossus forsteni
12022,species,railor8,Leaf Lorikeet,Trichoglossus weberi
12023,species,railor2,Marigold Lorikeet,Trichoglossus capistratus
12027,species,railor4,Coconut Lorikeet,Trichoglossus haematodus
12028,issf,railor6,Coconut Lorikeet (Biak),Trichoglossus haematodus rosenbergii
12029,issf,coclor1,Coconut Lorikeet (Coconut),Trichoglossus haematodus [haematodus Group]
12039,species,railor7,Red-collared Lorikeet,Trichoglossus rubritorquis
12040,species,railor5,Rainbow Lorikeet,Trichoglossus moluccanus
12043,hybrid,x00809,Musk x Rainbow Lorikeet (hybrid),Glossopsitta concinna x Trichoglossus haematodus
12044,hybrid,x00957,Red-collared x Rainbow Lorikeet (hybrid),Trichoglossus rubritorquis x moluccanus
12045,slash,y01142,Red-collared/Rainbow Lorikeet,Trichoglossus rubritorquis/moluccanus
12046,spuh,railor1,rainbow lorikeet sp.,Trichoglossus sp. (rainbow lorikeet complex)
12047,species,olhlor1,Olive-headed Lorikeet,Trichoglossus euteles
12048,species,yaglor1,Yellow-and-green Lorikeet,Trichoglossus flavoviridis
12049,issf,yaglor2,Yellow-and-green Lorikeet (Mustard-capped),Trichoglossus flavoviridis meyeri
12050,issf,yaglor3,Yellow-and-green Lorikeet (Yellow-and-green),Trichoglossus flavoviridis flavoviridis
12051,species,minlor1,Mindanao Lorikeet,Trichoglossus johnstoniae
12052,species,pohlor1,Pohnpei Lorikeet,Trichoglossus rubiginosus
12053,species,scblor1,Scaly-breasted Lorikeet,Trichoglossus chlorolepidotus
12054,hybrid,x00810,Rainbow x Scaly-breasted Lorikeet (hybrid),Trichoglossus haematodus x chlorolepidotus
12055,slash,y01035,Rainbow/Scaly-breasted Lorikeet,Trichoglossus haematodus/chlorolepidotus
12056,hybrid,x00856,lorikeet sp. (Musk/Rainbow/Scaly-breasted Lorikeet hybrid),Glossopsitta/Trichoglossus sp. (hybrid)
12057,spuh,y00637,lorikeet sp.,Psittaculidae sp. (lorikeet sp.)
12058,species,vehpar1,Vernal Hanging-Parrot,Loriculus vernalis
12059,species,cehpar1,Sri Lanka Hanging-Parrot,Loriculus beryllinus
12060,species,phihap1,Philippine Hanging-Parrot,Loriculus philippensis
12071,species,camhap1,Camiguin Hanging-Parrot,Loriculus camiguinensis
12072,species,bchpar1,Blue-crowned Hanging-Parrot,Loriculus galgulus
12073,species,suhpar1,Sulawesi Hanging-Parrot,Loriculus stigmatus
12074,species,sulhap1,Sula Hanging-Parrot,Loriculus sclateri
12075,species,mohpar1,Moluccan Hanging-Parrot,Loriculus amabilis
12076,species,sahpar2,Sangihe Hanging-Parrot,Loriculus catamene
12077,species,paphap1,Papuan Hanging-Parrot,Loriculus aurantiifrons
12081,species,gfhpar1,Green-fronted Hanging-Parrot,Loriculus tener
12082,species,pyghap1,Pygmy Hanging-Parrot,Loriculus exilis
12083,species,ythpar1,Yellow-throated Hanging-Parrot,Loriculus pusillus
12084,species,wahpar2,Wallace's Hanging-Parrot,Loriculus flosculus
12085,spuh,hangin1,hanging-parrot sp.,Loriculus sp.
12086,species,blclov2,Black-collared Lovebird,Agapornis swindernianus
12090,species,gyhlov1,Gray-headed Lovebird,Agapornis canus
12093,species,rehlov1,Red-headed Lovebird,Agapornis pullarius
12096,species,blwlov1,Black-winged Lovebird,Agapornis taranta
12097,species,peflov,Rosy-faced Lovebird,Agapornis roseicollis
12100,species,fislov1,Fischer's Lovebird,Agapornis fischeri
12101,species,yeclov,Yellow-collared Lovebird,Agapornis personatus
12102,hybrid,x00671,Fischer's x Yellow-collared Lovebird (hybrid),Agapornis fischeri x personatus
12103,slash,y00791,Fischer's/Yellow-collared Lovebird,Agapornis fischeri/personatus
12104,species,lillov1,Lilian's Lovebird,Agapornis lilianae
